"ASBR07A","ASBR07B","ASBR07C","ASBR07D","ASBR07E","ASBR07F","ASBR07G","ASBR07H","ASRREA01","ASRREA02","ASRREA03","ASRREA04","ASRREA05"
"3","3","2","3","4","2","3","3",549.15209,621.18156,607.14661,581.77604,634.72807
"2","2","2","3","2","2","1","1",553.16611,575.06319,568.80225,562.02223,579.05693
"1","2","3","2","2","1","1","1",582.27184,598.37084,571.09288,563.83587,556.74827
"2","2","3","1","2","1","1","1",599.24862,659.39657,606.18805,639.52291,583.95612
"1","1","4","2","1","1","2","1",645.55738,623.95486,574.36902,603.84242,657.47306
"1","1","4","1","1","1","1","2",568.13756,535.25462,604.75289,590.0376,519.02755
"2","3","2","3","2","1","3","1",574.4553,553.79162,562.9196,568.82231,543.476
"1","1","1","1","2","1","1","1",551.17991,551.20286,538.92184,562.02223,511.00741
"2","2","3","2","3","2","2","2",615.31994,643.86525,600.54854,591.58315,608.10168
"1","2","3","2","1","1","1","1",423.3728,405.07111,440.33935,447.80399,447.30003
"1","3","2","3","3","2","4","4",346.00875,408.40469,456.50121,521.90124,497.24979
"1","3","2","3","4","2","1","1",441.81847,433.85377,431.47328,422.26059,480.65666
"3","4","1","4","4","4","4","4",579.79948,568.78411,558.91321,519.29102,584.13028
"1","1","4","2","1","2","1","1",647.58713,666.66355,617.4855,689.66891,641.3063
"2","1","3","2","2","1","1","1",537.23025,579.92319,581.8953,595.50962,534.88127
"1","2","4","2","2","1","1","1",577.27369,586.40704,591.94135,626.39284,564.25772
"1","2","4","1","2","1","1","2",538.25785,508.6786,498.10535,468.57619,536.61098
"4","4","4","4","2","2","3","2",541.55915,506.1299,548.13229,553.47944,548.18513
"2","2","3","3","2","2","2","2",591.94115,663.7965,661.64296,610.48022,666.81469
"2","2","4","2","2","2","2","2",556.24686,566.85247,569.36817,565.81969,608.89536
"2","2","4","2","1","1","1","1",495.75589,555.76084,541.78425,536.72424,511.66795
"2","1","4","1","1","1","1","1",573.45691,581.92711,571.49529,539.96817,559.97395
"1","1","3","1","1","1","1","1",443.55593,525.5257,494.23911,492.91963,447.10535
"1","1","4","1","1","2","2","2",558.42032,590.04993,581.6714,594.48754,593.63849
"2","1","4","1","1","1","1","1",619.36397,567.11886,525.57475,547.46835,605.06678
"2","2","3","3","1","1","1","1",558.71994,568.80916,564.79052,571.5713,511.14916
"2","1","4","1","1","1","1","1",492.27843,473.31422,479.53762,470.49401,467.245
"1","2","2","3","3","2","1","2",611.04671,595.15679,609.14491,627.43125,626.04964
"2","1","3","2","2","1","2","1",652.81875,724.30835,692.54726,648.09434,675.20757
"1","1","4","2","1","1","1","1",688.94862,650.31522,697.43729,633.28047,656.56635
"2","1","1","4","4","1","4","3",568.13024,599.64391,556.30959,590.13973,567.14811
"2","2","2","2","3","2","2","2",468.75217,463.93302,461.4002,495.3763,451.45692
"2","1","4","1","1","1","1","2",559.09192,572.92577,575.43819,552.53844,540.5368
"1","3","2","3","2","1","1","1",577.80565,628.49548,566.36438,605.20362,595.76607
"2","2","3","2","3","2","2","1",560.77157,569.08674,549.36723,582.54758,559.6767
"2","2","3","2","2","1","3","1",622.6901,607.14483,657.95832,648.94943,592.00037
"2","1","4","2","2","2","1","1",585.28207,605.17756,569.28338,592.63459,590.78226
"2","2","3","2","3","2","1","2",421.7539,410.29032,448.13799,416.9765,444.56514
"2","2","2","3","3","2","2","1",547.20824,574.83922,557.1598,562.02223,533.11699
"1","2","3","2","2","2","2","1",741.53278,670.3013,652.16539,629.40388,646.8249
"1","2","3","3","3","1","1","1",463.27416,471.29735,486.88847,431.67367,459.62343
"2","2","3","2","2","1","2","1",535.01375,550.74177,552.21502,492.23861,532.00627
"1","2","1","3","2","2","1","1",649.1755,673.20235,678.9705,601.23198,672.43453
"3","3","3","2","2","2","2","2",543.13693,554.1228,511.75455,492.57342,532.00627
"3","3","3","4","3","2","2","2",567.71979,541.66187,523.19142,577.50839,549.31164
"1","1","4","1","1","1","1","2",638.89962,523.89958,578.74922,550.69554,533.28058
"2","2","4","2","2","2","2","2",662.46659,672.88801,689.5301,686.38198,651.20458
"1","2","4","4","4","2","2","2",584.34026,566.51102,538.71225,582.23207,566.50726
"2","2","4","3","2","1","1","1",474.27679,471.41329,491.54319,470.49401,451.45692
"2","1","3","2","2","1","2","1",577.53107,564.03266,594.39681,588.4162,571.70923
"2","1","4","2","1","2","1","2",576.43498,638.50659,621.14184,590.27439,620.18969
"3","3","2","3","3","2","3","3",549.15209,559.22237,536.27078,555.14189,504.09634
"2","1","4","1","1","1","2","1",542.01275,542.0943,525.37009,490.03802,498.36748
"3","2","3","3","2","2","2","2",619.18129,492.30214,589.2621,550.69554,533.28058
"1","2","2","3","3","2","1","1",540.36525,565.40873,516.02825,550.28632,483.52416
"2","1","4","1","1","1","1","1",664.62885,618.58942,677.63196,648.09434,640.27005
"2","1","2","2","2","1","1","1",542.23125,526.6547,505.70376,484.04972,525.11849
"2","2","3","2","2","2","2","2",684.20562,660.85428,683.66597,664.37216,684.9002
"3","1","4","2","1","1","1","1",656.21409,645.87575,659.9912,646.21768,612.13775
"2","2","4","1","2","1","1","1",535.35285,526.08496,515.10704,561.13891,525.73554
"2","1","2","2","1","1","1","1",490.36622,490.40008,491.70977,503.31835,481.37648
"2","2","2","2","3","2","2","2",656.014,672.88801,625.1512,665.09751,648.3661
"2","1","4","1","1","1","1","1",557.02593,601.70925,548.89124,593.43456,574.08236
"1","1","4","1","1","1","1","1",566.29914,532.06121,570.56462,563.05561,555.56073
"3","2","4","2","2","2","2","2",581.88541,558.41008,552.44304,539.35048,558.36455
"1","2","4","2","1","1","3","1",530.35114,551.91123,563.25266,475.91184,544.37389
"1","1","3","4","2","2","1","2",624.82193,641.50088,622.94011,591.39049,616.4723
"1","2","3","2","2","1","1","1",568.06368,516.62428,571.89627,557.02584,519.02755
"1","2","2","2","3","2","2","2",611.04671,607.19648,599.13035,615.21129,625.31053
"2","1","4","1","2","1","1","1",544.08647,533.46604,536.96532,490.03802,525.11849
"1","2","2","2","2","1","1","1",559.04693,607.87363,593.32322,535.53619,568.44488
"2","3","3","2","2","2","2","1",667.52336,604.82071,587.24887,622.24939,624.16751
"1","2","3","2","3","2","2","2",500.2691,516.67511,469.71712,511.98503,500.01062
"2","1","4","1","1","1","2","1",580.90402,575.94614,643.64896,583.56761,627.86849
"1","2","2","3","2","1","1","1",611.04671,603.18647,637.15646,610.5922,604.5885
"2","2","2","2","2","2","1","1",551.56512,542.54071,525.15679,584.03555,553.22648
"3","4","3","4","4","2","4","3",524.55743,540.61729,516.72875,561.26352,547.7048
"1","2","3","3","3","2","2","2",504.66395,469.42066,487.7215,434.07779,517.5959
"3","4","2","4","3","2","2","2",582.91229,577.68759,551.04769,618.39476,572.67112
"2","2","3","2","2","2","2","2",624.5674,641.50088,634.70974,603.98078,561.11184
"2","2","2","2","3","1","2","2",542.94722,487.67557,510.3663,515.15495,514.38663
"2","2","3","1","2","2","2","2",710.61804,723.90785,620.74333,690.58138,624.38393
"3","3","3","3","2","1","2","3",533.32605,584.10664,579.22551,540.22189,552.65312
"1","3","3","2","2","1","1","2",566.98234,552.83422,531.67955,582.35739,572.47131
"2","2","4","2","1","1","2","3",602.78105,538.06725,581.25746,592.63838,558.71789
"4","4","1","4","4","4","4","4",575.74323,642.63953,673.82385,590.13973,632.02405
"2","2","4","2","1","1","1","1",681.07631,660.28393,617.91611,587.68695,640.80464
"3","3","2","3","3","2","3","3",494.72982,516.98082,486.97943,520.57945,508.32904
"4","4","2","4","4","3","2","2",398.56014,378.11781,393.48103,389.77199,392.12501
"2","3","2","3","3","2","2","2",561.33804,562.306,597.12844,544.62092,597.47681
"2","3","2","3","3","2","3","3",585.92313,618.85806,553.93047,637.79107,651.41997
"1","2","3","2","2","1","1","1",568.06368,539.03173,638.5695,593.58174,599.39146
"2","2","3","3","2","3","2","2",503.18672,516.14317,474.27563,485.83483,460.73835
"2","1","4","1","1","1","1","1",654.01885,662.23517,642.76613,646.21768,617.02812
"3","2","4","2","1","1","1","1",512.74754,514.02001,536.57545,588.7195,576.85325
"2","1","3","1","2","1","2","1",652.81875,639.43287,637.31296,638.34389,592.00037
"2","3","2","2","3","2","2","2",539.87634,570.23124,560.34766,553.37095,594.04589
"4","4","4","4","4","3","4","4",399.20456,408.40469,475.97513,444.0288,439.79088
"3","4","1","4","4","3","4","4",476.82945,451.41355,406.51759,475.50343,478.54005
"1","3","3","3","3","1","1","1",597.16483,530.74748,589.2621,571.52768,565.21397
"1","2","4","2","1","1","1","1",598.61499,621.29422,622.55529,576.52531,562.1722
"1","2","4","1","1","2","2","1",565.29536,587.18801,593.55679,595.13365,612.01621
"2","1","3","1","2","2","2","1",568.47026,573.13721,572.66489,563.5181,601.358
"2","1","4","2","1","1","1","1",508.61374,585.92716,557.95116,491.4371,560.31601
"3","3","3","3","3","2","2","2",551.99491,544.10008,558.38444,579.21333,542.96757
"1","2","4","2","2","1","3","1",661.98551,576.50067,578.74922,646.83988,648.41348
"1","2","3","2","2","1","1","1",474.77283,501.52715,496.67266,479.68497,502.52499
"1","1","4","1","1","1","1","1",580.29196,540.76424,507.61379,569.62166,526.77815
"1","3","3","3","3","2","1","1",565.05345,557.99305,584.64298,577.50839,539.13663
"1","1","4","2","1","1","1","1",549.21285,550.8115,568.73136,572.88632,580.78983
"2","2","4","1","1","1","1","1",442.64028,456.79738,471.77129,458.47307,449.68044
"2","2","3","3","2","2","2","2",493.96968,494.04461,500.91436,501.94688,498.32358
"1","1","4","3","2","1","1","1",513.55449,537.76698,504.23032,515.09152,532.66538
"2","2","3","3","2","2","2","2",591.94115,640.83728,626.15164,646.85528,596.70365
"2","2","3","3","2","2","1","2",621.44593,612.07783,595.86377,591.58315,601.08189
"2","2","3","3","3","3","1","1",452.48444,455.44729,496.67266,440.07656,456.12
"4","3","2","4","4","4","2","2",398.56014,408.40469,440.33935,444.43628,412.63062
"2","1","4","1","2","1","2","1",549.85911,524.07159,533.30116,484.62255,496.48934
"1","3","2","3","3","1","1","1",514.88242,440.10267,490.37956,459.59061,486.54224
"1","1","1","2","1","2","2","1",370.93174,378.11781,352.20892,343.71402,408.73517
"1","1","4","2","1","1","1","1",594.38033,578.13204,592.37124,562.25379,575.58006
"2","2","3","2","2","2","3","2",598.14317,589.61031,567.13362,616.6233,595.27825
"3","3","3","4","4","4","2","1",561.46047,582.3538,536.69789,620.25387,599.31812
"4","4","1","4","4","4","4","4",633.08454,592.31634,605.40482,621.50156,623.21998
"3","4","1","2","4","2","3","3",537.44184,525.52355,520.08916,537.18982,545.8479
"2","2","2","3","3","1","1","1",601.0733,614.3008,604.30087,614.51272,638.10247
"3","2","3","3","2","2","2","1",658.11286,681.6699,647.84138,636.38748,684.41525
"2","2","3","1","2","1","1","1",571.78234,539.46098,632.86845,566.48141,597.47681
"1","2","3","2","3","2","1","2",504.66395,543.04071,538.72758,472.15913,521.9324
"1","2","2","3","3","2","2","2",611.04671,595.15679,550.16908,546.50385,597.62256
"2","2","4","2","1","1","2","2",598.45968,636.17446,626.47154,681.12899,626.98025
"2","1","4","1","1","1","1","1",589.19227,577.2531,612.30787,620.41101,650.1871
"1","2","2","3","3","2","3","3",536.97002,558.21548,556.34282,553.37095,511.14916
"1","2","4","1","1","2","1","1",576.67995,643.20115,628.25736,626.02776,618.68122
"3","2","4","2","3","2","2","1",488.60586,491.01603,489.97879,541.31213,504.18927
"2","2","3","2","2","2","3","2",564.12437,525.52971,537.58638,565.4858,532.61984
"2","2","4","2","2","1","1","1",474.27679,455.44729,456.00053,522.58462,465.91827
"3","2","3","2","3","2","3","2",491.51798,525.85493,487.66584,503.31835,454.90066
"2","1","1","1","2","2","1","1",611.5628,557.53052,623.75977,604.13884,543.21743
"2","1","4","2","1","2","1","1",526.84772,536.47583,505.70376,515.16747,506.14843
"2","1","4","2","1","1","1","1",594.35611,609.85415,668.73317,589.0967,645.36299
"1","2","4","1","1","1","1","1",718.06912,696.38995,648.88606,679.04592,713.84771
"1","1","4","1","2","1","2","1",558.82079,594.97,664.01775,594.48754,626.36412
"1","2","4","3","1","1","2","2",558.42032,607.82876,554.63221,569.31272,511.14916
"3","2","3","3","2","2","2","2",604.10664,644.91487,644.64261,600.87552,578.61343
"4","3","2","2","2","3","2","2",573.59644,548.36107,561.98398,547.01304,571.0053
"2","2","3","3","2","2","3","1",595.20255,619.90788,580.4516,617.27547,612.54577
"1","2","3","1","1","1","1","1",588.60993,608.43916,601.7561,578.60129,612.01621
"1","3","2","3","4","1","1","1",490.84862,555.76084,487.07101,477.07054,535.60786
"2","2","3","2","2","2","2","2",671.29119,578.97257,634.72271,643.79251,598.98426
"1","1","4","2","1","1","2","1",566.91059,535.25462,547.94348,565.92192,500.30571
"3","3","3","3","3","3","3","1",575.88571,588.21278,591.94135,544.72787,591.05448
"2","2","1","3","3","2","2","1",560.81401,640.16106,588.25404,575.71271,561.97619
"3","4","2","2","3","2","3","2",573.59644,524.96244,526.06566,538.23849,529.48924
"1","2","4","2","1","2","1","1",573.63735,539.46098,632.86845,600.11701,619.27745
"3","3","2","3","4","2","3","2",619.64761,585.3144,606.76487,667.71164,567.60854
"4","1","4","4","2","2","1","2",580.622,536.08684,585.95992,539.35048,561.23954
"2","3","3","3","1","1","2","2",499.31295,559.96617,529.59091,550.18101,496.43201
"2","2","3","3","3","2","3","2",506.90895,546.07187,533.6085,556.87752,485.85309
"1","1","3","2","2","2","1","2",546.32027,516.68651,533.30116,529.12081,579.14206
"4","4","3","4","2","1","2","2",542.58481,511.61312,579.89,506.24583,569.84217
"2","1","4","1","1","1","1","1",625.65555,604.09242,607.84938,635.68829,763.30914
"3","4","2","4","4","3","3","3",570.52606,520.19877,542.24779,551.02337,520.55859
"2","2","3","2","2","2","1","1",589.45973,623.02252,568.60758,597.0407,603.15983
"3","3","2","2","3","3","3","3",593.05179,550.97088,530.50327,574.1064,559.53516
"1","3","3","3","3","2","1","2",500.2691,526.49974,522.78447,468.38251,531.82052
"2","3","3","2","1","1","1","1",612.00022,579.9618,631.53001,598.17353,616.35466
"2","1","1","4","4","1","4","1",472.31248,468.39939,486.88847,472.52545,467.24212
"2","3","3","3","2","2","2","2",596.50402,569.99977,613.19122,590.0376,584.91924
"1","2","4","2","1","1","1","2",516.16577,542.03269,557.94313,475.61367,553.68352
"2","3","1","4","4","2","3","3",493.13322,468.07591,466.81993,472.62419,481.6687
"2","3","4","1","1","1","1","1",618.50908,571.04045,561.22071,607.61021,574.40145
"1","2","3","2","3","2","2","1",588.109,596.65743,632.77976,656.88737,587.24836
"2","2","3","1","2","1","1","1",630.95882,612.20466,659.71164,619.60796,574.86065
"1","1","3","2","2","1","2","1",684.34962,614.60292,678.55368,704.5536,686.87434
"4","2","3","2","2","2","1","1",656.59278,681.6699,617.19781,590.29399,685.38401
"1","2","3","2","2","2","1","1",647.38756,613.67572,550.31725,626.22934,545.53783
"1","2","3","1","1","1","1","1",528.36474,527.63397,505.17417,522.83649,546.28515
"2","2","3","3","2","2","2","2",498.25736,529.55759,532.23127,520.84221,512.21854
"4","3","2","3","2","3","1","1",635.90893,592.31634,577.52447,568.52096,612.49664
"2","2","4","1","1","1","1","1",442.64028,461.13539,499.16022,444.0288,430.69951
"1","4","2","3","3","2","2","2",538.99214,503.00663,502.80113,518.33041,500.50665
"2","2","4","2","2","2","2","2",454.23014,471.88095,450.7835,435.5205,448.92451
"2","1","3","3","2","2","2","2",512.80606,572.11543,534.40789,597.04891,571.20141
"1","2","2","3","3","2","1","1",609.45519,610.61283,561.8103,582.67311,556.61503
"1","3","3","2","2","1","1","1",632.48001,646.97784,602.5811,641.78827,583.61846
"1","2","3","2","1","1","2","2",516.53877,480.35302,487.7215,476.7968,491.35189
"1","1","4","1","1","2","2","1",683.74245,621.39886,573.58137,617.98872,620.60387
"2","1","3","2","3","4","2","1",632.0716,645.52547,592.80072,591.58315,618.37054
"2","1","4","1","1","1","3","1",585.11913,564.03266,594.39681,557.67709,567.33078
"2","2","2","2","2","3","3","2",567.78879,535.25462,542.8205,582.36437,500.30571
"2","2","3","2","3","2","3","2",521.31465,489.98603,519.99646,558.85457,576.85325
"4","3","2","3","3","3","3","3",513.05347,538.52422,519.9268,563.37245,549.48375
"3","1","2","1","3","1","2","1",619.5782,683.11385,628.50585,672.14823,624.38393
"3","4","4","4","4","2","4","3",535.31153,511.07492,567.70849,580.95513,581.61499
"2","3","1","4","4","3","2","2",493.13322,516.14317,505.96707,471.55232,530.46733
"2","2","3","1","2","2","2","2",400.83201,408.40469,440.33935,452.13836,407.77195
"2","3","2","3","2","2","3","2",574.4553,606.65489,573.28925,542.25919,532.66004
"2","2","3","2","2","1","3","1",598.14317,598.73417,678.96155,622.02964,657.86251
"2","2","1","3","2","2","2","3",535.44221,568.75607,587.10688,560.59811,531.6362
"3","2","3","2","1","1","2","2",474.22092,462.40825,490.07438,473.58962,467.24212
"2","2","3","2","2","2","1","1",589.45973,595.33876,605.49053,577.56155,573.9841
"1","3","2","3","3","2","3","2",490.84862,525.85493,522.78447,510.37543,497.51267
"1","1","1","1","2","2","3","1",587.49247,548.56841,572.4627,505.94397,574.96681
"2","4","2","4","3","2","3","2",548.07269,537.25454,611.10278,640.64076,605.07345
"2","2","4","1","1","1","1","1",565.36843,508.29659,579.8756,574.00704,544.97586
"1","3","2","3","3","2","4","2",539.80357,552.03672,527.49537,539.73856,530.91043
"2","3","3","3","3","2","2","3",521.30875,565.32709,539.63603,504.49757,502.27493
"1","1","3","1","2","1","1","1",442.84973,458.5187,511.2375,434.07779,429.79957
"3","2","4","1","1","1","1","1",565.36843,596.14109,610.15019,594.48754,589.09829
"1","2","3","3","1","1","1","1",536.78886,573.46819,553.34696,542.51188,547.69495
"3","4","4","2","2","2","1","1",457.55872,453.28696,433.84345,441.77073,437.32205
"1","4","1","4","4","4","4","1",491.46079,491.01603,517.82045,546.71888,498.29301
"2","2","4","2","2","2","1","1",526.51879,536.47583,538.05846,525.45565,550.30789
"2","2","3","2","2","2","2","2",537.87295,519.82292,520.45135,505.06517,502.48889
"2","3","2","2","3","2","3","3",539.87634,569.76112,584.59863,587.50641,562.91141
"2","2","3","3","1","1","2","1",639.13126,643.57022,634.20474,669.85065,651.65424
"2","1","1","4","4","1","1","2",620.90623,604.5191,610.43531,604.25267,646.57853
"1","1","4","1","1","1","1","1",621.27719,541.64184,576.70327,646.83988,669.83103
"2","2","4","2","2","2","3","2",632.03873,645.51058,646.67477,628.32401,668.72975
"2","2","2","2","2","1","2","1",633.33185,651.57207,648.10088,625.81847,646.57853
"1","3","3","3","3","2","3","3",504.66395,468.07591,469.75807,436.76459,443.77505
"3","4","1","4","4","2","4","4",538.22722,525.52355,522.71841,571.19862,547.11329
"3","2","3","3","2","2","3","2",568.1397,687.19924,673.82385,588.04608,599.39146
"2","1","3","2","2","3","2","1",570.39936,654.221,628.25736,581.77604,650.1871
"3","3","2","2","3","2","3","2",644.32186,610.4169,566.25182,635.46013,555.44698
"1","2","3","3","3","2","2","2",481.77998,427.48216,434.94688,481.99559,463.66422
"2","2","3","2","2","1","1","1",488.0797,505.52217,490.52279,475.88084,450.71248
"2","3","3","2","2","2","2","2",619.95832,625.57451,598.61989,597.89271,629.65718
"2","3","1","3","3","3","3","2",535.67944,511.93619,506.26618,545.75971,498.29301
"3","3","2","3","3","2","3","3",619.64761,499.72645,559.19576,593.93246,539.45972
"4","4","4","4","1","1","1","1",536.24743,537.48714,526.39759,561.13891,511.00741
"2","2","4","2","2","2","2","2",556.24686,566.85247,569.36817,552.53844,618.09227
"2","2","3","1","2","1","3","1",588.19745,575.16476,589.7459,592.40806,596.41912
"2","2","4","1","2","1","1","1",567.93931,535.25462,547.44208,565.92192,527.48084
"1","2","2","3","3","1","2","2",540.36525,582.13137,540.29136,524.2987,578.67015
"3","2","2","4","3","2","2","1",547.43132,500.17377,536.57401,549.65426,591.35942
"2","2","3","2","2","2","2","1",634.17819,643.74264,669.14609,619.60796,616.32717
"2","1","4","1","1","1","2","1",589.19227,526.27248,550.05477,517.17407,569.84217
"3","2","3","3","3","3","2","1",508.57272,463.95612,477.32139,457.54254,487.37182
"2","2","4","2","1","1","1","1",543.00523,499.01777,510.3663,579.44602,532.40937
"2","2","4","2","1","1","3","1",555.89717,612.3514,554.63221,564.30709,577.69462
"3","3","1","4","4","2","3","2",571.36915,564.63392,597.29884,563.46565,597.47681
"2","1","4","1","1","1","1","1",580.90402,549.00936,580.61653,561.77651,572.47131
"2","2","3","2","2","1","1","1",552.15907,547.71493,536.96532,538.64874,532.4305
"1","1","4","1","1","2","2","2",558.42032,590.04993,563.02095,522.68295,617.27346
"2","2","3","4","2","1","1","2",505.9247,490.08389,544.43223,554.77998,548.18513
"2","2","4","1","1","2","3","1",632.03873,617.80382,671.08893,641.51371,588.57119
"2","1","4","3","2","1","1","1",600.09293,653.47197,636.34822,610.64516,645.36299
"2","2","3","2","2","1","1","1",571.78234,573.13721,549.36723,585.13872,576.07044
"2","3","2","2","2","2","3","3",521.78606,540.44189,517.15061,537.18982,555.20092
"1","1","3","1","2","2","2","1",509.43382,514.02001,544.17088,515.16747,488.70183
"2","2","4","3","1","1","1","1",512.74754,477.00342,524.70632,525.44344,477.84597
"1","2","3","2","1","1","1","1",434.77672,430.1771,397.36167,396.47476,417.93321
"2","2","3","2","2","2","2","1",539.92743,566.6971,511.31395,624.36192,574.62638
"1","2","3","3","2","1","1","1",427.24128,405.07111,422.34412,401.33249,372.64017
"2","1","4","1","1","1","4","2",653.58042,645.87575,574.36902,633.83863,626.24903
"2","1","4","2","1","3","1","2",664.42235,627.74377,659.9912,677.40759,642.53395
"1","2","2","1","2","1","1","1",443.54504,447.74828,497.5131,453.62776,473.96385
"1","1","2","2","1","1","1","1",400.27165,330.50425,352.20892,373.13452,402.61726
"2","2","3","3","3","2","1","1",454.13844,471.29735,491.54319,482.73244,473.48557
"2","2","3","1","2","1","1","2",626.20217,625.45714,640.78573,628.90331,592.00037
"4","2","3","4","3","3","1","1",561.46047,573.33171,564.79052,571.5713,550.86442
"2","2","3","3","3","2","2","2",518.94691,552.20318,530.76863,558.85457,570.06372
"1","1","3","3","2","2","2","2",659.35978,633.70678,574.36902,616.03528,624.16751
"2","1","4","1","1","1","3","1",607.05183,636.17446,587.52947,540.35173,650.80333
"1","3","3","4","1","1","1","1",602.18079,599.48166,557.36188,614.38289,588.29508
"1","2","2","1","2","2","2","1",559.04693,545.42255,584.64298,544.62092,544.53482
"3","3","3","2","2","2","2","2",653.11664,713.14165,692.54726,672.36152,651.23463
"3","2","3","2","2","2","2","2",602.85962,625.97008,587.63637,590.971,599.7845
"2","2","4","2","2","1","1","1",438.9322,448.13266,488.28443,435.62888,453.80123
"2","2","4","1","2","1","3","1",595.26148,619.90788,550.19275,588.42277,559.97395
"2","2","2","2","2","1","1","2",542.23125,487.67557,579.89,525.44344,533.15648
"2","2","4","1","1","2","3","1",622.6901,587.40582,607.94414,623.97476,763.30914
"3","3","1","4","4","3","4","2",557.05433,589.74792,501.96223,579.25562,503.00973
"2","3","3","4","3","1","2","1",605.43273,602.37911,619.56427,645.22864,590.46091
"2","2","3","2","2","2","1","1",611.88145,625.41257,643.21959,660.76848,627.12948
"1","2","4","1","1","2","1","2",718.06912,723.90785,692.54726,623.88977,680.78443
"2","1","3","1","1","2","3","2",585.11913,526.27248,585.95992,557.02584,555.56073
"4","2","3","3","2","1","2","4",505.83993,517.6475,478.82313,520.57945,531.28347
"2","2","3","2","3","3","3","4",527.19039,530.69069,589.63663,539.57372,559.98287
"2","2","3","2","2","2","1","1",518.29465,552.20318,546.13996,534.97075,564.68923
"2","1","3","4","3","1","1","1",615.19985,565.87639,627.52826,585.53973,563.21276
"2","1","3","2","2","1","1","2",478.73352,474.2215,519.63571,519.45555,491.69837
"2","2","3","2","3","3","3","2",544.34599,564.24574,551.29989,557.38918,564.68923
"2","1","4","1","2","1","1","1",600.09293,608.17103,629.791,610.64516,581.15046
"3","3","2","2","3","3","3","3",644.32186,673.20235,636.7526,627.13154,620.22364
"4","1","4","2","2","2","2","2",623.16976,492.30214,570.54486,580.51152,553.80958
"1","2","3","2","2","2","1","1",578.91711,585.02625,553.32257,581.2846,573.25247
"2","3","2","3","3","2","3","2",568.96131,592.77065,563.12055,581.34167,565.30003
"2","1","4","1","1","1","1","1",659.91311,595.55041,587.07581,656.68199,655.06475
"2","1","4","2","1","1","1","2",559.09192,525.52971,539.10119,556.45763,527.48084
"1","2","3","2","2","1","2","2",516.53877,474.969,471.72026,478.32181,463.66422
"3","2","3","3","2","3","2","3",650.03649,666.66355,602.48006,620.14682,642.83365
"2","2","3","2","2","2","2","2",502.65139,537.32674,532.23127,482.27128,494.20155
"1","2","2","3","3","1","1","1",536.75487,573.46819,545.32823,533.08803,533.37525
"2","1","4","1","1","3","3","1",685.40175,642.83115,659.08707,685.7452,636.18075
"3","2","3","2","2","3","2","3",653.11664,691.57514,774.09463,672.36152,726.28754
"1","1","3","2","2","2","2","2",558.72564,590.04993,581.6714,585.42077,572.13509
"1","1","4","1","1","1","1","1",459.82621,386.21618,510.88653,433.54284,467.69619
"1","3","2","2","2","1","1","1",441.81847,504.45674,454.52987,464.2255,480.65666
"1","2","3","2","2","2","2","1",537.0435,618.50326,579.6554,576.21492,618.09227
"3","3","2","3","3","2","2","3",548.73065,531.97064,519.94192,445.49788,430.08389
"1","3","4","3","1","2","1","2",558.35081,522.22735,542.8205,538.23849,498.39404
"2","2","3","2","2","2","2","1",671.78926,649.90117,617.91611,622.24939,646.8249
"1","2","4","2","1","1","1","1",600.81867,617.92223,576.93622,626.1499,578.01186
"4","4","2","4","4","2","3","2",602.27259,547.54878,573.06947,612.08376,629.12752
"2","2","3","2","2","2","2","2",550.31495,545.18861,544.19053,591.36493,598.04258
"3","2","3","3","3","2","2","2",511.09394,546.07187,565.629,570.63872,542.96757
"1","3","3","3","2","2","1","1",624.82193,604.09242,607.94414,564.96953,593.45469
"2","2","4","2","2","2","1","1",585.28207,628.49548,583.88517,590.27439,588.01753
"2","2","3","1","2","1","1","1",599.24862,608.17103,716.8645,622.31497,657.51747
"2","2","3","3","2","2","3","2",631.76557,651.57207,611.50088,605.51637,671.52577
"2","3","2","3","2","2","3","2",638.94196,588.79976,542.37373,569.83444,585.52767
"2","2","4","2","2","2","2","1",623.9648,666.66006,648.10088,622.97957,613.61597
"2","3","2","4","4","2","3","4",548.07269,574.5027,475.74722,532.36258,558.67297
"4","2","3","3","2","2","1","4",621.44593,639.30451,603.22851,590.24083,634.72027
"3","2","4","3","2","1","2","2",540.30643,570.23124,555.59355,597.04891,533.11699
"1","3","4","3","1","1","1","1",562.18,544.80865,572.4627,565.92192,531.6362
"1","1","4","2","1","1","2","1",645.55738,539.84669,574.43436,554.56577,551.626
"2","1","4","1","2","1","1","1",570.9646,581.92711,553.32257,495.83767,565.49891
"3","4","2","4","2","1","2","2",597.80691,547.54878,588.84167,586.2464,558.71789
"1","2","3","1","1","1","2","1",596.84333,570.85951,549.68785,600.89348,554.45761
"2","3","2","3","3","2","1","1",369.26073,407.87101,427.42955,386.1056,367.34671
"2","2","2","3","3","2","2","2",481.72716,455.61468,490.07438,508.74726,433.74518
"3","2","3","3","3","2","2","2",523.83596,540.9726,558.38444,525.80196,606.99661
"2","2","2","2","2","1","1","2",551.56512,536.28524,544.19053,543.24781,520.58598
"2","2","4","1","1","1","2","1",629.25138,625.45714,671.08893,604.52723,592.00467
"3","2","4","1","1","2","1","1",601.62593,627.55174,626.37687,576.52531,576.70975
"2","3","3","4","3","4","2","1",657.1909,611.22724,616.53136,588.76836,597.36511
"2","2","2","3","4","2","2","2",558.62722,560.41493,562.9196,581.18412,533.11699
